Timestamp,Date,Image_Filename,Num_Buttons,Expected_Buttons,Button_Count_OK,Max_Distance_mm,Expected_Distance_mm,Distance_OK,YOLO_Defects,Color_Defects,Total_Defects,Alert
15:04:54,2025-12-19,original_20251219_150454_891773.jpg,3,3,YES,45.6,40.0,NO,0,0,1,DISTANCE OUT OF RANGE: 45.6mm (Expected: 40.0mm ±5mm)
15:04:56,2025-12-19,original_20251219_150456_795996.jpg,3,3,YES,41.4,40.0,YES,0,0,0,
15:04:57,2025-12-19,original_20251219_150457_812147.jpg,3,3,YES,43.1,40.0,NO,0,0,0,
15:04:59,2025-12-19,original_20251219_150500_083128.jpg,3,3,YES,44.3,40.0,NO,0,0,0,
15:05:00,2025-12-19,original_20251219_150501_167242.jpg,3,3,YES,46.5,40.0,NO,0,0,1,DISTANCE OUT OF RANGE: 46.5mm (Expected: 40.0mm ±5mm)
15:10:06,2025-12-19,original_20251219_151006_769353.jpg,3,3,YES,43.4,40.0,NO,0,0,0,
15:10:10,2025-12-19,original_20251219_151010_772473.jpg,3,3,YES,41.7,40.0,YES,0,0,0,
15:10:12,2025-12-19,original_20251219_151012_743231.jpg,3,3,YES,41.0,40.0,YES,0,0,0,
15:10:14,2025-12-19,original_20251219_151014_625473.jpg,3,3,YES,42.5,40.0,YES,0,0,0,
15:10:16,2025-12-19,original_20251219_151016_514825.jpg,3,3,YES,41.6,40.0,YES,0,0,0,
15:10:18,2025-12-19,original_20251219_151018_461275.jpg,3,3,YES,44.2,40.0,NO,0,0,0,
15:10:19,2025-12-19,original_20251219_151019_383029.jpg,1,3,NO,0.0,40.0,N/A,0,0,1,"BUTTON COUNT MISMATCH: Expected 3, Found 1"
15:10:20,2025-12-19,original_20251219_151020_396159.jpg,3,3,YES,42.5,40.0,YES,0,0,0,
15:10:20,2025-12-19,original_20251219_151021_417060.jpg,3,3,YES,42.4,40.0,YES,0,0,0,
15:10:23,2025-12-19,original_20251219_151024_308478.jpg,3,3,YES,44.1,40.0,NO,0,0,0,
15:10:28,2025-12-19,original_20251219_151029_357017.jpg,3,3,YES,41.7,40.0,YES,0,0,0,
15:10:49,2025-12-19,original_20251219_151049_915556.jpg,3,4,NO,41.0,40.0,YES,0,0,1,"BUTTON COUNT MISMATCH: Expected 4, Found 3"
15:10:50,2025-12-19,original_20251219_151050_923002.jpg,3,4,NO,41.5,40.0,YES,0,0,1,"BUTTON COUNT MISMATCH: Expected 4, Found 3"
15:11:02,2025-12-19,original_20251219_151102_615452.jpg,3,4,NO,43.0,40.0,YES,0,0,1,"BUTTON COUNT MISMATCH: Expected 4, Found 3"
15:11:05,2025-12-19,original_20251219_151105_629484.jpg,3,4,NO,41.9,40.0,YES,0,0,1,"BUTTON COUNT MISMATCH: Expected 4, Found 3"
15:11:17,2025-12-19,original_20251219_151118_254472.jpg,3,3,YES,43.4,40.0,NO,0,0,0,
15:11:21,2025-12-19,original_20251219_151122_260498.jpg,3,3,YES,59.1,40.0,NO,0,0,1,DISTANCE OUT OF RANGE: 59.1mm (Expected: 40.0mm ±5mm)
15:11:22,2025-12-19,original_20251219_151123_350285.jpg,3,3,YES,59.6,40.0,NO,0,0,1,DISTANCE OUT OF RANGE: 59.6mm (Expected: 40.0mm ±5mm)
